Epoch	Time(sec)	Loss_train	R_score
1	9.489361	4422.719589233398	0.04046132013477155
2	18.228095099999997	3863.750289916992	0.009130553817065956
3	26.886656200000004	3408.1157836914062	0.00013792483288976864
4	36.1593869	3038.7600631713867	0.001263482449729847
5	48.055967100000004	2714.456344604492	0.002381495302391845
6	59.0902166	2422.8564071655273	0.0004746164258914165
7	69.7504846	2164.5181274414062	8.085012706460226e-05
8	78.46047589999999	1928.7238464355469	4.3677429673039114e-08
9	86.2924197	1726.5708541870117	9.703835722052467e-05
10	93.9655844	1550.370231628418	0.0013310553825378602
11	102.3508488	1397.7015838623047	0.0029281115387559398
12	110.08415389999999	1258.6370162963867	0.005453087186482741
13	118.12445650000001	1134.989101409912	0.006741995068256013
14	125.82607919999998	1021.9455261230469	0.006142471597529342
15	133.4586471	920.3581562042236	0.002908938229141844
16	141.0361701	826.1443576812744	0.0033267663129343816
17	148.6558976	739.0598850250244	0.004985456081763706
18	156.2770881	661.045877456665	0.006250267651031871
19	164.1395634	589.7630100250244	0.00818321251265508
20	171.9655383	524.79150390625	0.01080072435331203
21	179.8711622	467.4241771697998	0.012018833845709564
22	187.4859209	414.03412437438965	0.013235966718135872
23	195.10058229999999	366.8479423522949	0.011881398837936707
24	202.6885172	323.353262424469	0.010650744628418307
25	210.48179009999998	285.782573223114	0.009720601732801093
26	218.3234178	251.92070722579956	0.009530504588802557
27	226.1572636	222.16532373428345	0.009360123009583776
28	233.9621386	194.4259181022644	0.011379500085209826
29	241.5645883	171.6617419719696	0.013289925083788456
30	249.29050189999998	150.82903480529785	0.014923733594697008
31	256.9915459	132.83050847053528	0.015212481075108752
32	264.6362254	116.57927978038788	0.014859347175231963
33	272.3205381	102.85938537120819	0.013643336278227447
34	280.0309574	91.8467527627945	0.012229621048105876
35	287.739371	81.17581748962402	0.0111444769205995
36	295.34976819999997	72.73979431390762	0.011089807064205703
37	303.088207	65.56914955377579	0.01073817920927378
38	310.7381418	60.489803194999695	0.011031566991836717
39	318.4161035	54.746470019221306	0.011262308257681708
40	326.054746	50.54978185892105	0.011103447316947679
41	333.7067235	47.3231533318758	0.011115303684915534
42	341.2492919	44.363210663199425	0.010857849489747884
43	348.9330622	42.23954367637634	0.01094291876590836
44	356.4818348	40.34467566013336	0.010787895566074734
45	364.0773767	39.03187870979309	0.010333435885503728
46	371.7215313	38.04922169446945	0.009710394482664864
47	379.290393	37.144052907824516	0.00942045814598913
48	386.8884347	36.331608325242996	0.008845781378148176
49	394.4114325	35.83232465386391	0.008163182175648043
50	401.9762407	35.213214173913	0.007231436876906305
51	409.597908	35.095729649066925	0.006235602430910148
52	418.5127987	35.05550128221512	0.005128850063669588
53	427.090595	34.75250826776028	0.004135478099010381
54	436.1519252	34.605019092559814	0.0033855022955298075
55	445.5768191	34.44704823894426	0.003049445761202585
56	457.4275127	34.38832376897335	0.0026178502560091355
57	469.1300692	34.39317721128464	0.002119753017931436
58	480.740729	34.119519546628	0.0015659711540063626
59	492.6928152	34.14744755625725	0.001059289810222186
60	504.05548170000003	34.20592772960663	0.0004914807402039978
61	515.2600968	34.22316142171621	0.00011553914638939844
62	526.7157247	34.04777184873819	-1.0860451871153032e-08
63	538.0747062	34.38444793224335	9.383360652348571e-05
64	549.3467386000001	34.17556111328304	0.0002888247234820174
65	560.879632	33.98031310737133	0.0005320308260997608
66	571.3926308	33.95846915245056	0.0008995285085464655
67	582.7255008000001	34.06523576378822	0.0013880487127495567
68	593.3771406000001	33.99026319384575	0.0018255343876726338
69	604.1447052000001	33.9146369472146	0.0023509023119541173
70	612.3911038	33.93330344557762	0.0032099996313584844
71	620.6474635000001	33.915123611688614	0.004003583584172299
72	628.9940823000001	33.95356651395559	0.004804045570126481
73	637.261554	33.78331620246172	0.005656338393046467
74	645.5994175000001	33.90116323530674	0.005921634452682123
75	653.7216109000001	34.05991218239069	0.006567456507906688
76	661.4126271	33.9301892220974	0.007047532137758106
77	669.1789019	33.850386306643486	0.00700695328257106
78	677.0202679	33.54803539812565	0.007318314645956447
79	684.7650847000001	33.55551242828369	0.007341658502937554
80	692.4554048	33.88710920512676	0.007063558424423522
81	700.2113687000001	33.61386691988446	0.006821068972077793
82	707.9685588000001	34.019740745425224	0.006690928064230217
83	715.5894256	33.85787633061409	0.006393260197822825
84	723.367189	33.73519669473171	0.00628277065852334
85	731.0884983000001	33.31428083777428	0.005982192411347342
86	738.7401443	33.86973528563976	0.005715384510455057
87	746.3957173	33.40418662130833	0.005473832945071089
88	754.0374715	33.492271199822426	0.0052155284597843465
89	761.7122093	33.309600085020065	0.004888018163151653
90	769.5595747000001	33.265875935554504	0.004658642336340391
91	777.7614324000001	33.22141605615616	0.004255568531161158
