Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev
1	110.9068511	209.4511941075325	0.4804666426901636	0.5462037745246603
2	231.97179060000002	203.37763026356697	0.4744650242762093	0.5479094193827623
3	397.5500865	199.32025465369225	0.4629450638374393	0.5344355920617427
4	555.7106291	195.24922102689743	0.46046124797698257	0.531609168302039
5	716.2696542	190.9683893918991	0.46891296529401183	0.5329744065574038
6	876.4836227	186.80471155047417	0.46299001978061494	0.5332646578360274
7	1049.7181874999999	179.8573436141014	0.46278771803632435	0.5390594059263403
8	1228.5265342999999	173.90713584423065	0.4584831864772523	0.5389641842948871
9	1406.1634109	169.04531651735306	0.46360816399928073	0.5408854138775561
10	1586.4419691	163.4328135251999	0.47424024456033087	0.5510436096519667
11	1767.172753	156.81206318736076	0.46331595036863876	0.546096437912797
12	1947.0184964	148.78715327382088	0.45780884732961696	0.5414398869353962
13	2127.705304	141.12646102905273	0.45871920517892467	0.5326324752873147
14	2307.9496946	133.9397301375866	0.45985434274411074	0.5390275341538179
15	2487.5733703	127.37478376924992	0.46309117065276023	0.5390413558747119
16	2670.3195874	118.99384774267673	0.4688342923934544	0.5475910268987971
17	2847.88604	112.12667086720467	0.4610681532098544	0.5362381365835638
18	3027.8362512	102.59611120074987	0.4607984175508002	0.5337629048111225
19	3205.9657225	96.29168286919594	0.4689354432655997	0.5405146180257933
20	3384.1747387	88.13075350224972	0.47570131271354066	0.550708976000451
21	3562.2087708999998	82.21760172396898	0.47023354612479773	0.5438058837943183
22	3741.3013106	72.96673820912838	0.4771736198525446	0.5432326731522505
23	3917.1460151	65.26887991651893	0.4769263621650782	0.5428627509230985
24	4100.4559772	57.91085983719677	0.47827504046034885	0.5418349048302592
25	4281.0096899	54.04090644046664	0.4713181082539112	0.5393336564090616
26	4445.2332653	42.367993626743555	0.47261059162021224	0.5447100429733176
27	4637.5083353	37.79850339516997	0.4684915033267397	0.5419044736685645
28	4820.3974573000005	34.60131005523726	0.4635407300845171	0.5340647465761477
29	4995.576906300001	30.53960471553728	0.471340586225499	0.5421044480800798
30	5166.0509278	25.135363228153437	0.46599082898759214	0.5356654270281314
31	5348.8099504	20.180185195989907	0.4700818198165797	0.5434557201049351
32	5538.3758395	17.869072744389996	0.47471790145657256	0.5427906623579236
33	5725.3164525	16.26964472909458	0.46581100521488944	0.5434317911940322
34	5887.9332254	14.397488526941743	0.4666764071210214	0.5434652148378514
35	6049.7782081000005	12.649981981143355	0.4722565635677036	0.5420569594606179
36	6214.5604014	11.255593582172878	0.47405480129473115	0.5439642676721621
37	6388.164830000001	9.093261330854148	0.47401546484445245	0.5446179373279133
38	6560.727682000001	6.227910717338091	0.4742065276029491	0.5431389969643295
39	6737.224769	5.732768809772097	0.46930632979679915	0.5398866081362166
